Name,Nationality,Birthdate
Carrie Lozano,Guernsey,2001-01-26
Jason Mcknight,Georgia,1964-02-10
Mia Flowers,British Virgin Islands,1976-12-24
Walter Sparks,France,1959-11-07
Timothy Thomas,Pitcairn Islands,1961-12-21
Loretta Beck,Gabon,1979-10-23
Edward Chavez,Cuba,1969-01-03
Amy Torres,Jersey,1972-09-04
Amber Taylor,Turkey,1969-01-08
Mary Mack,Cape Verde,2004-07-21
Brenda Quinn,Jersey,1985-01-09
Daniel Kennedy,Guinea,1967-03-11
Jasmine Ross,United Kingdom,1959-03-18
Eric Collins,Mongolia,1977-02-08
Regina Taylor,Seychelles,1964-08-01
Julian Turner,Belize,1969-10-07
Julia White,Slovenia,2000-06-07
Charles Ramos,Germany,1980-09-16
Heather Gomez,Lao People's Democratic Republic,1976-04-18
Alexander Hansen,Seychelles,1976-04-26
Lisa Turner,Ecuador,1984-10-06
Marc Yoder,Turkey,1969-07-22
Jenna Powell,Albania,1978-07-16
Kelly Combs,Belize,1956-11-27
Marie Cook,Bhutan,1997-07-28
Melissa Lin,British Virgin Islands,1993-04-03
Nancy Brown,Costa Rica,1981-05-15
Tracy Taylor,Ukraine,1989-10-26
Elizabeth Collins,Vietnam,1954-05-08
Mr. Brian Smith,Netherlands,2000-08-23
Danielle Garcia,Anguilla,1998-02-21
Anthony Martinez,Iraq,1979-08-24
David Abbott,Eritrea,1997-07-23
Shannon Williamson,Jersey,1961-10-05
Charles Garner,Dominican Republic,1963-01-22
Kimberly Alvarez,French Guiana,1969-05-08
Kevin Richardson,Falkland Islands (Malvinas),1974-09-28
Ashley Butler,Jamaica,1961-11-11
Bryan Price,Mozambique,1970-01-20
Stephanie Harvey,Armenia,2002-02-20
Charles Khan,Kuwait,1968-09-07
Mrs. Savannah Gordon,Guernsey,2001-11-04
Kayla Thompson,Canada,1972-08-28
Gina Espinoza,Solomon Islands,1961-06-06
Mary Mclean,Bangladesh,2002-07-26
Jamie Ruiz,Palestinian Territory,1963-07-27
Katie Hopkins,Eritrea,1960-11-13
Tyler Bailey,Niger,1997-12-28
Allen Quinn,Djibouti,1959-02-15
Timothy Alvarez,Senegal,1966-04-13
Sylvia Flynn,Bosnia and Herzegovina,2001-09-12
Steven Campos,Italy,2002-11-23
David Johnson,San Marino,1957-11-14
Lisa Pittman,Uzbekistan,1963-03-27
Jerry Anderson,Northern Mariana Islands,1984-06-02
David Kim,France,1965-12-17
Jessica Rice,Somalia,1964-03-14
Lori Barnett,Costa Rica,1955-10-09
Aaron Schroeder,Montenegro,1982-12-23
Cody Blair,United States Minor Outlying Islands,1992-08-10
Cheryl Clark,Sweden,1979-02-12
Luke Hansen,Burundi,1996-06-29
Mario Sawyer,Montenegro,1958-02-24
Elizabeth Wilson,Djibouti,1956-09-26
Alison Nicholson,French Guiana,2002-11-21
Michael Jones,Tunisia,1962-05-17
Joseph Allen,Maldives,2003-05-24
Jennifer Brown,Qatar,2001-04-10
Taylor Mercer,Palau,1955-08-07
Dean Cook,Serbia,1957-02-26
Robert Rivera,Saudi Arabia,1989-03-01
Cynthia Jones,Yemen,1983-11-23
Sandy Aguirre,Guatemala,2006-01-02
Linda Salazar,Belgium,2001-01-17
Carl Cummings,Bosnia and Herzegovina,1955-11-24
Marie Reynolds,Gabon,1995-06-07
Crystal Velazquez,Anguilla,1995-01-04
Kimberly Dalton,Pitcairn Islands,1990-03-29
John Hughes,Honduras,1990-11-13
Jeffery Taylor,Kazakhstan,1960-04-06
Stephanie Bell,Guam,1977-02-22
David Chapman,Denmark,1975-11-26
Rhonda Herrera,Aruba,2006-07-12
Nathan Hess,Belarus,1957-01-04
Douglas Edwards,Netherlands,1988-09-25
Eduardo Obrien,Lesotho,1988-11-10
Angela Mays,Costa Rica,1980-03-28
Heather Herman,Cyprus,1977-07-08
Jacob Arnold,Trinidad and Tobago,1988-08-26
Debra Wolfe,Macao,1959-07-17
Jason Sampson,Libyan Arab Jamahiriya,1968-11-02
Chad Daugherty,Djibouti,1970-03-04
Barbara Hardy,Solomon Islands,1961-07-14
Melissa Santos,Korea,2004-07-09
Russell Nelson,Namibia,1974-05-15
Angela Ramirez,New Zealand,1974-05-11
James Wallace,Czech Republic,1964-11-29
Jeffrey Williams,Gambia,1955-09-02
Teresa Kent,Saudi Arabia,2001-05-06
Susan Patrick,Nauru,1965-06-26
Nicholas Howell,Tonga,1976-09-01
Nancy Brown,Botswana,1983-05-02
Tara Mitchell,Wallis and Futuna,1982-05-08
Nathan Mack,Eritrea,1962-08-16
Patrick Middleton,Bulgaria,2002-02-12
Michael Hill,Egypt,1994-11-21
Kenneth Johnson,Falkland Islands (Malvinas),1973-03-06
Rachel Patrick,New Caledonia,1954-08-30
Matthew Huff,Tanzania,1963-06-26
Jeremiah Owens,Guinea-Bissau,1979-06-17
Claudia Brown,Wallis and Futuna,1958-03-23
Kristen Ashley,Kazakhstan,1963-07-16
Desiree Booth,Brunei Darussalam,1966-01-23
Seth Douglas,Djibouti,1960-01-28
Michael Valencia,Mozambique,1970-10-29
Crystal Lynn,Eritrea,2005-09-12
Ryan Atkinson,Mauritius,1992-01-30
Hannah Jones,Kenya,1960-01-03
Damon Hudson,Switzerland,1997-08-11
Martin Liu,Cambodia,1955-04-27
Heather Hester,Ukraine,1988-07-24
William Howell,Central African Republic,1973-07-12
Chris Garza,Botswana,1986-04-15
Kayla Norman,Malawi,1995-07-14
Teresa Gray,Myanmar,1955-09-27
Jane Cuevas,Belgium,2004-08-19
Wendy Cunningham,Morocco,1987-06-01
Kimberly Martinez,Turkey,1981-12-24
John Warren,Kazakhstan,1970-10-22
Kenneth Bartlett,Greenland,1966-11-22
Heidi Bryant,San Marino,2005-07-18
Jill Rosario,Ireland,1973-03-10
Jonathan Melendez,Palau,1979-09-02
Richard Hall,Sweden,1997-10-29
Joshua Frank,Ireland,1989-09-26
Lisa Flynn,Guam,1970-08-23
Jason Lucero,Morocco,1980-03-14
Christina White,Korea,1954-10-31
Dennis Spencer,Venezuela,1978-11-29
Sean Bass,Anguilla,1990-07-31
Brandi Camacho DVM,United Kingdom,1976-05-24
Michael Allen,French Polynesia,1960-04-26
Stephanie Vargas,Nicaragua,1959-09-21
Angela Mccall,Zambia,1977-10-19
Jerry Davenport,French Guiana,1994-03-01
Morgan Cummings,Namibia,2002-07-29
Angela Huang,Nauru,1985-06-10
Jody Flores,Christmas Island,1980-12-19
Theresa Davis,French Southern Territories,1980-02-26
Joseph Fox,Malawi,1998-09-29
Frank Flores,Christmas Island,2004-07-18
Tony Khan,Saint Martin,1965-03-05
Laura Gilbert,Bolivia,1972-06-01
Dwayne Tucker,Czech Republic,2000-12-06
Thomas Zhang,Sao Tome and Principe,1959-08-20
Donald Davis,Micronesia,1998-06-19
Alyssa Orr,Uganda,1982-08-15
Adriana Wall,Anguilla,1973-08-05
Travis Simmons,Kenya,1981-08-13
Elizabeth Rodriguez,Romania,2002-09-22
Stephen Snyder,Benin,1999-10-30
Monique Wilson MD,Belgium,1993-06-15
Benjamin Moore,Grenada,1968-08-22
Kayla Waters,Romania,1990-06-21
Amanda Garcia,Romania,1996-02-07
Ryan Guerrero,Turkey,1987-03-11
Lori Sanchez,Namibia,1973-12-12
Megan Baker,Canada,1979-09-09
Jonathan Anderson,North Macedonia,2000-06-05
Shannon Curry,Afghanistan,1977-01-10
Logan Mckinney Jr.,Portugal,1967-12-14
Kevin Little,Liberia,1982-02-14
Sherry Pittman,Turkey,1969-06-28
Dr. James Howard,Liberia,1969-08-31
Victor Prince,Serbia,1969-03-26
Erika Bates,Brazil,1963-05-07
Mary Bailey,Indonesia,1991-05-13
Karen Ballard,Liechtenstein,1985-11-12
Alyssa Adams,Cuba,2001-03-02
Amy Ingram,Eritrea,1989-10-13
Robert Coleman,Eritrea,2002-05-13
Nicholas Morgan,Svalbard & Jan Mayen Islands,1956-06-05
Daniel Hutchinson,Mauritania,1964-12-08
Theresa Austin,Greenland,1960-11-09
Tiffany Smith,Hong Kong,1958-10-17
Susan Wang,Micronesia,1957-05-16
Daniel Nichols,Cayman Islands,1998-06-06
Mitchell Roberts,Central African Republic,2002-04-10
Daniel Quinn,Wallis and Futuna,1954-09-25
Nicole Rose,Macao,1975-02-06
Mr. Eric Hall,Sierra Leone,1990-06-23
Paul Hess,Honduras,1988-09-26
Patrick Nelson,Belize,1958-01-24
Michele Oconnor,Angola,1954-10-16
Lisa Hernandez,Saint Pierre and Miquelon,1985-03-08
Ronald Villarreal,Slovenia,1971-03-02
Allison Hill,Cook Islands,1959-04-17
Laura Bennett,Japan,1958-12-10
Kristina Webb,United States of America,1991-04-06
Janet Kaiser,Saint Lucia,1974-11-15
Joshua Rodriguez,Czech Republic,1984-08-20
Ray West,Lesotho,1983-11-09
Evelyn Pacheco,Belize,1959-01-24
Sean Burns,Egypt,1958-06-15
Ryan Mills,Taiwan,1984-01-16
Randall King,Georgia,1993-04-03
Amanda Barker,Netherlands Antilles,1975-07-22
Michael Fischer,South Africa,1979-11-29
Dr. David Murray MD,Moldova,1999-07-08
Angela Garcia DDS,Honduras,1960-10-02
Joseph Martinez,Congo,1977-03-15
Amanda Coleman,Chile,1987-03-13
Brenda Sawyer,Italy,1975-03-06
Jeffrey Phillips,Uzbekistan,2000-08-29
Frank Preston,Mongolia,1988-06-20
Joseph Harris,Nicaragua,2004-06-18
Larry Kennedy,Cote d'Ivoire,2003-08-18
Michelle Phelps,Burkina Faso,1962-09-18
Kara Stewart,Christmas Island,1961-12-23
William Collins,Comoros,1964-07-27
Jimmy Davis,Nigeria,1978-11-06
Gregory Hansen,Czech Republic,1972-04-16
Corey Mitchell,United States Minor Outlying Islands,2000-01-07
Elizabeth Weber,Iraq,2003-07-12
Margaret Harris,Nauru,1962-02-01
Diana Baker,Bosnia and Herzegovina,1960-09-21
Maria Reyes,Morocco,1994-12-03
Destiny Aguirre,Tunisia,1986-08-26
Christine Smith,Djibouti,2006-06-06
Robert Thomas,Chad,1979-03-18
Blake Booker,Burundi,1981-02-16
Maurice Murphy,Macao,1994-04-16
James Schroeder,Romania,1979-02-26
Joseph Schmidt,Turks and Caicos Islands,1986-02-03
Christopher Schultz,Fiji,1991-09-17
Kristina Henry,Solomon Islands,1967-04-15
Steven Pearson,Christmas Island,1955-05-08
John Santiago,Saint Lucia,1976-06-26
Sherri Knapp,Comoros,1974-04-12
Paul Smith,Kenya,1973-02-21
Kevin Murphy,United States Minor Outlying Islands,1973-07-23
Thomas Lawson,Antigua and Barbuda,1988-04-23
Jennifer Forbes,Romania,1967-06-03
Tricia Morrow,Tokelau,1992-01-24
Lawrence Gibson,China,1979-02-07
Nicole Aguirre,Argentina,1973-08-05
Michelle Thornton,Christmas Island,2000-03-02
Jason Singleton,Azerbaijan,1977-07-04
Emily Hodge,Fiji,2006-02-16
Lucas Smith,Taiwan,1989-08-16
Stephanie Jackson,Namibia,1992-04-13
Adrian Beck,Israel,1998-05-29
Ana Bryan,Macao,1961-10-29
Christopher Williams,New Caledonia,1964-07-16
Carrie Francis,Taiwan,2003-11-20
Justin Wilson,Lao People's Democratic Republic,1984-02-14
Kylie Ford,Brazil,2002-08-30
Brandon Stewart,Niue,2005-03-12
Rachel Robinson,Holy See (Vatican City State),1978-05-29
Terri Parker,Pitcairn Islands,1988-01-19
Cheryl Campos,Bulgaria,1970-06-19
Dustin Ramirez,Mongolia,1970-09-25
Cole Stephenson,Christmas Island,2005-11-28
Jeffrey Davis,Guinea,1984-09-05
Martin Cole,Norfolk Island,1990-06-03
Travis Richards,Cape Verde,1982-07-09
Michael Reed,Sudan,1990-02-26
Gordon Schmitt,Micronesia,1997-12-28
Ann Ayala,Eritrea,1965-07-29
Thomas Holmes,Norfolk Island,1963-11-21
Kevin Watson,Honduras,1988-11-24
Erica Garcia,Guinea-Bissau,2000-01-31
Jason Cook,Oman,2001-11-12
Hunter Martin,Mayotte,1963-11-16
Robert Bryant,Morocco,1990-10-26
Kara Sanchez,Saint Kitts and Nevis,1973-10-15
Michael Evans,Vanuatu,2000-07-06
Stephanie Hunter,Italy,1976-07-31
Kenneth Watkins,Central African Republic,1981-02-26
Stacie Sanford,Western Sahara,1981-10-14
Laura Taylor,Panama,1971-09-01
Tracy Parker,Seychelles,1961-07-04
James Murray,Palestinian Territory,1961-10-29
Elizabeth Miller,Dominica,1999-06-21
Nathaniel Moore,Moldova,1998-10-30
John Cooper,Latvia,1983-02-24
Daniel Kennedy,Honduras,1998-01-26
Pamela Davis,Brunei Darussalam,1970-11-18
Jennifer Murphy,Finland,1997-06-16
Jessica Long,Barbados,1972-05-23
Tracy Johnson,Turks and Caicos Islands,1986-04-05
Jackie Morgan,Swaziland,1954-02-03
Jennifer Jones,Denmark,1961-04-29
Daniel Graham,Guadeloupe,1974-05-13
Chris Collins,Peru,1997-07-15
Tyler Fisher,Central African Republic,1975-02-11
Ashley Drake,Guatemala,1990-05-15
Scott Lara,American Samoa,1962-07-15
Jonathon Parks,Algeria,1979-10-10
Jennifer Wise,Gabon,1976-07-13
Audrey Roman,United States of America,1977-11-15
John Rogers,Martinique,2005-07-06
Christopher Coleman,Senegal,1974-05-02
Brittany Rogers,Vietnam,1991-07-06
Jose Mendez,Tunisia,1978-02-14
Douglas Martinez,Liechtenstein,1978-05-27
Kyle Wood,Jamaica,1971-11-23
Robert Daniels,Christmas Island,1969-07-20
Jeremy Evans,Argentina,1985-08-02
Andrew Rodgers,Egypt,1963-04-19
Beth Thomas,Lithuania,1976-11-09
Wesley Barker,Ecuador,2002-09-14
Tara Hoover,Montenegro,1978-04-22
Jake Thomas,Saint Kitts and Nevis,1987-10-24
Janet Baird,Belgium,1971-11-29
Elizabeth Morales,Colombia,2004-05-18
Matthew Andrade,Taiwan,2002-05-13
Rebecca Duncan,Gabon,1986-08-20
Rebecca Benson,Australia,1973-11-04
Philip Kim,San Marino,1990-07-09
Jonathan Williams,Iran,2002-03-23
Denise Russell,Andorra,1995-06-16
Denise Ford,Somalia,2005-09-24
Daniel Smith,Greece,1965-09-22
Monica Lynch,Kuwait,1985-03-02
Erin Price,Venezuela,1983-07-26
Francisco Carson,Canada,1978-06-29
Christine Wolfe,Peru,1974-09-06
Matthew Duncan,Belgium,1987-06-22
Haley Clark,Marshall Islands,1973-07-29
Ethan Craig,Antarctica (the territory South of 60 deg S),1962-04-09
Lori Cunningham,Israel,2006-10-15
William Hawkins,Liechtenstein,2006-06-18
Joshua Gray,Yemen,1999-01-15
Daniel Gay,Montserrat,1969-05-06
Pamela Joyce,Iran,1983-03-01
Daniel Lester,Fiji,1970-12-09
Brian Dyer,North Macedonia,1994-05-20
Joseph Myers,Togo,1975-06-02
Donna Middleton,Cayman Islands,2002-12-23
Dylan Patel,Grenada,1994-06-11
Melinda Garcia,Mozambique,1988-08-15
Jennifer Fields,Niger,1965-11-21
Kathy Miller,Montserrat,1992-10-23
Erika Wright,Montenegro,1987-02-28
Tiffany Johnson,Netherlands Antilles,2000-11-01
Kristen Boyer,Thailand,2002-05-29
Nathan Allen,Latvia,2003-09-05
Erica Carter,Uganda,1955-08-24
Judy Sutton,Kenya,2006-06-18
Valerie Porter,Bouvet Island (Bouvetoya),1996-08-08
Shelby Stout,Ecuador,1978-07-04
Adriana Johnson,Philippines,1975-07-19
Julie Cruz,Slovenia,1976-02-12
Mike Martinez,Singapore,1986-03-06
Michelle Gonzales DVM,Bahamas,1969-07-15
Rodney Mack,Haiti,1975-03-07
Lori Alexander,Solomon Islands,1960-08-01
Dennis Bryan,Sao Tome and Principe,1995-12-19
Holly Douglas,Cambodia,2002-05-25
Christine Davis,Norway,1990-10-10
Michael Goodwin,Saudi Arabia,1967-10-16
Jeremy Cobb,Reunion,1967-09-05
Andrew Taylor,Mali,1969-04-18
Jacob Cox,French Guiana,1970-04-06
Latoya Torres,Rwanda,1977-04-27
Patrick Neal,Cameroon,1986-03-16
Dawn Perez,Thailand,1965-03-24
Kevin Green,Saint Helena,1980-12-18
Kellie Woods,United Arab Emirates,1963-01-15
Christopher Farrell,Germany,1981-09-29
Timothy Wong,Trinidad and Tobago,1981-11-05
Steven Smith,Yemen,1957-06-10
Daniel Hernandez,New Caledonia,1995-03-30
Marie Kelly,Kuwait,1984-03-09
Alexandria Francis,Svalbard & Jan Mayen Islands,1995-07-07
Crystal Harris,Papua New Guinea,1955-10-01
Tiffany Romero,Faroe Islands,1983-05-02
Natalie Salas,South Georgia and the South Sandwich Islands,1956-12-22
Danielle Scott,Saint Vincent and the Grenadines,1963-09-10
Shannon Perez,Saint Barthelemy,1978-03-07
Lee Arnold,Bermuda,1993-05-24
Sylvia Escobar,Bulgaria,1981-09-14
Darren Willis,Mozambique,1979-04-22
Stephen Williams,Somalia,1987-08-10
Bruce Miller,Congo,1959-04-21
Linda Evans,Algeria,1984-11-02
Ashley Tanner,Slovakia (Slovak Republic),1988-01-25
Madison Campos,Afghanistan,1967-05-09
Devin Welch,Greenland,1980-11-23
Tiffany Evans,Trinidad and Tobago,1982-03-20
Michael Gordon,Niue,1977-05-01
Theresa Freeman,Ghana,2001-05-10
Kathleen White,Senegal,1976-11-26
Timothy Ramos,Northern Mariana Islands,1990-06-02
Cheryl Rodriguez,Djibouti,1965-04-23
Erica Moreno,Bosnia and Herzegovina,1990-04-20
Christine Powers,Gibraltar,1962-04-19
Rachel Phelps,New Zealand,1989-02-15
Jose Wells,Nepal,1995-10-24
Debra Cantu,Latvia,2003-07-12
Jacqueline Torres,Saint Lucia,1972-10-07
Joanna Coleman,India,1994-06-07
Todd Brown,Ireland,1972-10-01
Vanessa Wang,Andorra,1997-05-23
Matthew Scott,Syrian Arab Republic,1973-10-20
Richard Nguyen,Monaco,1993-03-05
Lisa Alexander,Falkland Islands (Malvinas),1959-09-03
Gabriel Castillo,Saint Helena,1985-06-08
Theresa Harrington,Iceland,1990-06-18
Katelyn Ramirez,New Caledonia,1985-01-27
Anthony Cooper,Mauritania,1973-08-03
Ashley Taylor,San Marino,1957-12-06
Morgan Holloway,Tunisia,1961-12-24
Curtis Miller,Ecuador,1971-05-21
Mary Hawkins,Svalbard & Jan Mayen Islands,1969-06-15
Raymond Jones,Solomon Islands,1991-01-26
Tina Ward,Sierra Leone,1977-08-21
Cathy Mcdonald,Kuwait,1973-03-16
Wesley Green,Netherlands,1993-08-20
Bryan Jenkins,Indonesia,1996-09-23
Sandra Brown,Malaysia,1973-10-20
Whitney Moyer,Tunisia,1996-04-26
Katherine Andrews,North Macedonia,1957-07-26
Brandon Grant,Bouvet Island (Bouvetoya),1982-03-11
Sarah Miller,Uzbekistan,1978-11-02
Cheryl Jones,Poland,1976-11-06
Jerry Gilmore,Saint Vincent and the Grenadines,1962-01-28
Christopher Johnston,Korea,1981-12-23
Samantha Reynolds,Angola,1975-04-15
Marcus Price,Algeria,1965-12-12
David Walker,Peru,1994-09-13
Martha Gonzalez,Swaziland,1984-06-14
Spencer Camacho,Cape Verde,1964-01-07
Eric Garcia,Martinique,1985-11-28
Penny Fernandez,Zimbabwe,1957-09-05
Tanya Barrett,Cook Islands,1970-01-24
Devin Mayer,Cuba,1994-12-11
Shawn Blackburn,British Virgin Islands,1998-03-21
Jeremy Manning,Saint Vincent and the Grenadines,1965-01-23
Jeffrey Gonzalez,Sierra Leone,1974-03-05
Anna Thompson,United States Minor Outlying Islands,1984-08-28
Carla Clark,Wallis and Futuna,1979-12-07
Nicole Stewart,Comoros,1965-02-26
Jonathon Woods,Malawi,1959-12-11
Adam Lara,Iran,2004-12-21
Isaac Collins,Bahrain,1977-01-07
Elizabeth Key,Belize,1988-06-25
Sherri Smith,Falkland Islands (Malvinas),1992-09-05
Amber Boone,Christmas Island,1983-12-07
Christopher Neal,Serbia,1956-01-28
Christine Singh,French Polynesia,1973-09-16
Christopher Thompson,Vietnam,1981-06-30
Robert Barnett,Haiti,2000-08-07
Christopher Jimenez,Gambia,1975-05-27
Ryan Howell,Antarctica (the territory South of 60 deg S),1995-07-10
Stephen Johnson,Tunisia,1961-08-29
Joshua Farmer,Saint Helena,1981-11-04
Adrian Prince,Bermuda,1976-04-06
Wayne Marshall,Israel,1999-05-21
Brandy Morrison,Northern Mariana Islands,1954-01-17
Steven Scott,Gibraltar,1988-10-18
Louis Moran,Lesotho,1980-02-16
Laura Martinez,Malaysia,1960-11-20
Courtney Miller,Bhutan,1992-01-09
Lucas Wright,El Salvador,1963-10-18
Erin Dickson,Paraguay,1985-04-27
Victoria Adams,United Arab Emirates,1960-12-27
Matthew Riley,Vietnam,1999-02-05
Rebecca Welch,South Africa,1964-06-30
Charles Johnson,South Africa,1966-08-12
Adam Castillo,Togo,1972-03-27
Ruth Ray,Korea,2006-08-15
Dennis Gonzales,Samoa,1968-10-23
Tammy Rogers,Uganda,1963-11-19
Shane Ingram,Korea,1989-02-28
Gloria Stone,Bahrain,1995-06-15
Alexander Daniels,Bhutan,1966-01-17
Brian Pierce,French Polynesia,1960-09-13
Jesse Tran,Wallis and Futuna,1958-05-29
Kathy Sanders,Wallis and Futuna,2000-12-11
Brenda Becker,Singapore,1954-11-23
Heather Burke,Canada,1983-11-04
Amber Patel,Mauritius,1966-03-22
Kiara Brooks,Bolivia,1990-01-26
Shannon Perez,Venezuela,1993-10-25
Tom Lynch,Togo,1964-09-22
Wayne Morales,Iceland,2001-10-04
Stephanie Mcdonald,Burkina Faso,1992-04-01
Benjamin Erickson,Paraguay,1970-07-11
Lisa Chung,Bahamas,1994-01-12
John Martin,Sri Lanka,2005-10-05
Jeanne Moore,Italy,1974-09-24
Ruben Jones,Yemen,1968-08-25
Becky Singh,Western Sahara,1989-08-22
Charles Hill,Greece,1954-07-31
Eric Garcia,Niue,1985-09-22
Jeffrey Short,Mauritius,1993-05-20
Benjamin Werner,United States Minor Outlying Islands,1992-03-02
Tiffany Williams,Taiwan,2001-03-28
John Richards,Turkey,1991-08-17
Katherine Carter,Mali,1959-06-21
Miss Linda Cox DVM,Papua New Guinea,1980-03-21
Jessica Brown,Bosnia and Herzegovina,1999-11-11
Nathaniel Hill,El Salvador,1987-12-11
Michael King,Guinea-Bissau,1958-05-31
Robert Sanchez,Lithuania,1965-09-28
Derek Osborn,Sweden,1991-07-24
Sara Bennett,Maldives,2000-02-21
Amanda Rodriguez,Taiwan,1996-01-26
Laura Wilson,Serbia,1966-08-28
Michelle Munoz,Suriname,1974-11-17
Hannah French,Timor-Leste,1978-06-06
Amanda Ross,Sri Lanka,1987-04-20
Maureen Johnson,Montenegro,1963-08-03
Erin Carter,Isle of Man,1996-07-05
Sarah King,Svalbard & Jan Mayen Islands,1990-03-17
Vincent Hill,Slovenia,1956-07-17
William Baker,South Africa,1962-07-09
Sharon Wong,Saint Vincent and the Grenadines,1975-04-12
Robert Kirk,Togo,1958-09-20
Joshua Trujillo,Denmark,1970-10-14
Thomas Davis,Iraq,1970-08-05
Cody Reyes III,Russian Federation,1979-09-27
Jeffrey Ward,Cayman Islands,2004-11-07
Brian Perkins,United States of America,1980-10-31
Elizabeth Castro,Christmas Island,1975-02-06
Christina Davis,Netherlands Antilles,2002-06-27
Sarah Thomas,Guam,1982-04-01
Thomas Garcia,Zimbabwe,1993-01-11
Rebecca Austin,Belize,1971-03-04
Ronald Sanchez,Cape Verde,1989-05-21
Johnny Whitaker,Cyprus,1967-01-05
Matthew Robinson,American Samoa,1969-09-27
Shannon Webb,Kazakhstan,1975-12-24
Laura Gutierrez,Thailand,1981-06-29
Kenneth Barrera,Iceland,1993-08-03
Vicki Lara,Estonia,1976-11-13
Timothy Young,Mauritius,1972-12-07
Brandy Heath,Reunion,1967-02-04
Betty Pollard,Slovenia,2006-03-29
Kimberly Garcia,Sweden,1986-01-10
Michelle Newman,Micronesia,1997-07-11
Derrick Copeland,Kuwait,1986-10-21
Jeffrey Benton Jr.,Monaco,1977-10-11
Stephanie Woods,Romania,1961-11-05
Ana Higgins,Montenegro,1967-05-14
Alyssa Harper,Jersey,1991-05-02
Victoria Lewis,Korea,1970-06-06
Elizabeth Hall,South Georgia and the South Sandwich Islands,2000-06-08
Brianna Ryan,Pitcairn Islands,1985-02-10
Tricia Brown,Saudi Arabia,1972-12-31
William Austin,Marshall Islands,1975-12-08
Cory Petty,Singapore,1994-03-24
Christopher Banks,Lithuania,1992-08-17
Brandon Powell,Reunion,2004-04-22
Jason Horton,Burundi,1998-11-30
Eric Thompson,Jersey,2000-08-06
Mr. James Perez DVM,North Macedonia,1958-05-02
Brandon Scott,Turkmenistan,1986-02-19
Mrs. Jacqueline Jackson,Marshall Islands,1954-09-04
Eric Marsh,Montenegro,1983-11-13
Tina Lopez,Niger,1980-05-31
Vanessa Davis,Pitcairn Islands,2002-05-18
Laura Vance,Romania,1998-11-05
Katie Olsen,Kenya,1955-08-14
Joshua Rubio,Wallis and Futuna,1960-05-20
Taylor Rodriguez,Pitcairn Islands,1963-07-28
Stephanie Jimenez,Netherlands,1962-03-28
Gail Gibson,Palestinian Territory,1983-01-19
Jerome Wilson,Micronesia,1957-06-24
Charles Horne,Liechtenstein,1963-12-28
Ian Rangel,Uruguay,1979-06-22
Mary Webster,Nauru,1959-03-31
Mary Flores,Malta,1983-11-06
Kelly Sherman,Norway,1964-08-28
Jerome Gonzalez,Western Sahara,1987-03-16
James Henry,Liechtenstein,1959-07-16
Lisa Torres,Solomon Islands,1994-11-09
Melissa Rose,Armenia,1963-12-23
Steven Adkins,Montserrat,1982-10-11
Nancy Ferguson,Australia,2005-03-31
Guy Medina,Swaziland,1997-10-02
Nancy Warren,Christmas Island,1980-12-21
Amanda Lewis,Kuwait,2004-05-10
Michelle Jones,Costa Rica,1980-04-04
Lisa Williams,Hong Kong,1964-12-05
